iter	Passed	Remaining
0	0	72
1	1	66
2	1	64
3	2	65
4	3	74
5	5	81
6	6	82
7	7	82
8	8	82
9	9	81
10	10	80
11	10	79
12	11	78
13	12	78
14	13	78
15	14	77
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	21	74
22	22	73
23	22	72
24	23	71
25	24	69
26	25	68
27	26	66
28	26	65
29	27	64
30	28	62
31	28	61
32	29	60
33	30	58
34	31	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	51
41	36	50
42	37	49
43	37	48
44	38	46
45	39	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	45	36
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	24
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	68	11
86	69	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
